,soltype
1082,Published Confirmed
1083,Published Confirmed
1084,Published Confirmed
1085,Published Confirmed
1086,Published Confirmed
1087,Published Confirmed
1088,Published Confirmed
1089,TESS Project Candidate
1090,Published Confirmed
1091,Published Confirmed
1092,Published Confirmed
1093,Published Confirmed
1094,Published Confirmed
1095,TESS Project Candidate
1096,Published Confirmed
1097,Published Confirmed
1098,Published Confirmed
1099,Published Confirmed
1100,Published Confirmed
1101,Published Confirmed
1102,TESS Project Candidate
1103,Published Confirmed
1104,Published Confirmed
1105,Published Confirmed
1106,Published Confirmed
1107,Published Confirmed
1108,Published Confirmed
1109,TESS Project Candidate
1110,Published Confirmed
1111,Published Confirmed
1112,Published Confirmed
1113,Published Confirmed
1114,Published Confirmed
1115,Published Confirmed
1116,Published Confirmed
1117,Published Confirmed
1118,Published Confirmed
1119,Published Confirmed
1120,Published Confirmed
1121,TESS Project Candidate
1122,Published Confirmed
1123,Published Confirmed
1124,Published Confirmed
1125,Published Confirmed
1126,Published Confirmed
1127,Published Confirmed
1128,Published Confirmed
1129,Published Confirmed
1130,Published Confirmed
1131,Published Confirmed
1132,TESS Project Candidate
1133,Published Confirmed
1134,Published Confirmed
1135,Published Confirmed
1136,Published Confirmed
1137,Published Confirmed
1138,Published Confirmed
1139,Published Confirmed
1140,Published Confirmed
1141,Published Confirmed
1142,Published Confirmed
1143,Published Confirmed
1144,Published Confirmed
1145,Published Confirmed
1146,Published Confirmed
1147,Published Confirmed
1148,Published Confirmed
1149,Published Confirmed
1150,Published Confirmed
1151,TESS Project Candidate
1152,Published Confirmed
1153,Published Confirmed
1154,Published Confirmed
1155,Published Confirmed
1156,Published Confirmed
1157,TESS Project Candidate
1158,Published Confirmed
1159,Published Confirmed
1160,Published Confirmed
1161,TESS Project Candidate
1162,Published Confirmed
1163,Published Confirmed
1164,Published Confirmed
1165,Published Confirmed
1166,Published Confirmed
1167,Published Confirmed
1168,Published Confirmed
1169,Published Confirmed
1170,Published Confirmed
1171,Published Confirmed
1172,Published Confirmed
1173,Published Confirmed
1174,Published Confirmed
1175,TESS Project Candidate
1176,Published Confirmed
1177,Published Confirmed
1178,Published Confirmed
1179,Published Confirmed
1180,Published Confirmed
1181,Published Confirmed
1182,Published Confirmed
1183,Published Confirmed
1184,Published Confirmed
1185,Published Confirmed
1186,TESS Project Candidate
1187,Published Confirmed
1188,Published Confirmed
1189,Published Confirmed
1190,Published Confirmed
1191,Published Confirmed
1192,Published Confirmed
1193,Published Confirmed
1194,Published Confirmed
1195,Published Confirmed
1196,TESS Project Candidate
1197,Published Confirmed
1198,Published Confirmed
1199,Published Confirmed
1200,TESS Project Candidate
1201,Published Confirmed
1202,Published Confirmed
1203,Published Confirmed
1204,Published Confirmed
1205,Published Confirmed
1206,TESS Project Candidate
1207,Published Confirmed
1208,Published Confirmed
1209,Published Confirmed
1210,Published Confirmed
1211,Published Confirmed
1212,Published Confirmed
1213,Published Confirmed
1214,Published Confirmed
1215,TESS Project Candidate
1216,Published Confirmed
1217,Published Confirmed
1218,Published Confirmed
1219,Published Confirmed
1220,Published Confirmed
1221,Published Confirmed
1222,Published Confirmed
1223,Published Confirmed
1224,Published Confirmed
1225,TESS Project Candidate
1226,Published Confirmed
1227,Published Confirmed
1228,Published Confirmed
1229,Published Confirmed
1230,Published Confirmed
1231,Published Confirmed
1232,TESS Project Candidate
1233,Published Confirmed
1234,Published Confirmed
1235,Published Confirmed
1236,Published Confirmed
1237,TESS Project Candidate
1238,Published Confirmed
1239,Published Confirmed
1240,Published Confirmed
1241,Published Confirmed
1242,TESS Project Candidate
1243,Published Confirmed
1244,Published Confirmed
1245,Published Confirmed
1246,Published Confirmed
1247,Published Confirmed
1248,Published Confirmed
1249,Published Confirmed
1250,Published Confirmed
1251,Published Confirmed
1252,Published Confirmed
1253,Published Confirmed
1254,TESS Project Candidate
1255,Published Confirmed
1256,Published Confirmed
1257,Published Confirmed
1258,Published Confirmed
1259,TESS Project Candidate
1260,Published Confirmed
1261,Published Confirmed
1262,Published Confirmed
1263,Published Confirmed
1264,TESS Project Candidate
1265,Published Confirmed
1266,Published Confirmed
1267,Published Confirmed
1268,Published Confirmed
1269,Published Confirmed
1270,Published Confirmed
1271,Published Confirmed
1272,TESS Project Candidate
1273,Published Confirmed
1274,Published Confirmed
1275,Published Confirmed
1276,Published Confirmed
1277,Published Confirmed
1278,Published Confirmed
1279,Published Confirmed
1280,Published Confirmed
1281,Published Confirmed
1282,Published Confirmed
1283,TESS Project Candidate
1284,Published Confirmed
1285,TESS Project Candidate
1286,Published Confirmed
1287,Published Confirmed
1288,Published Confirmed
1289,Published Confirmed
1290,Published Confirmed
1291,Published Confirmed
1292,Published Confirmed
1293,Published Confirmed
1294,Published Confirmed
1295,Published Confirmed
1296,Published Confirmed
1297,TESS Project Candidate
1298,TESS Project Candidate
1299,Published Confirmed
1300,Published Confirmed
1301,Published Confirmed
1302,Published Confirmed
1303,Published Confirmed
1304,Published Confirmed
1305,TESS Project Candidate
1306,Published Confirmed
1307,Published Confirmed
1308,Published Confirmed
1309,Published Confirmed
1310,Published Confirmed
1311,Published Confirmed
1312,Published Confirmed
1313,Published Confirmed
1314,TESS Project Candidate
1315,Published Confirmed
1316,Published Candidate
1317,Published Confirmed
1318,Published Candidate
1319,Published Candidate
1320,Published Confirmed
1321,Published Confirmed
1322,Published Confirmed
1323,Published Confirmed
1324,Published Confirmed
1325,Published Confirmed
1326,Published Confirmed
1327,TESS Project Candidate
1328,Published Confirmed
1329,Published Confirmed
1330,Published Confirmed
1331,Published Confirmed
1332,Published Confirmed
1333,Published Candidate
1334,Published Confirmed
1335,TESS Project Candidate
1336,Published Candidate
1337,Published Confirmed
1338,Published Confirmed
1339,Published Confirmed
1340,TESS Project Candidate
1341,Published Confirmed
1342,Published Confirmed
